State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"IL","Dynegy Lee II, LLC","55236",,"Facility name change from Lee County Generating Station on 12/13/2001",
"OH","AMP-Ohio Gas Turbines Galion ","55263",,"Facility name change from Galion Generating Station on 09/22/2003",
"PA","North East Cogeneration Plant","54571",,"Facility name change from Nepa Energy Lp on 12/13/2001",
"CT","South Meadow Station","563",,"Facility name change from Mid-Conn/S. Meadow on 01/15/2002",
"NC","Coastal Carolina Clean Power LLC","10381",,"Facility name change from Cogentrix-Kenansville on 02/06/2003",
"TX","Sam Rayburn Plant","3631",,"Facility name change from South Texas Electric Cooperative on 04/07/2004",
"OH","Dynegy Washington II, LLC","55397",,"Facility name change from Duke Energy Washington, LLC on 04/23/2003",
"AR","Hot Spring  Energy Facility","55418",,"Facility name change from Hot Spring Energy Facility on 10/25/2004",
"AR","Hot Spring  Energy Facility","55418",,"Facility name change from Duke Energy Hot Spring LLC on 11/03/2003",
"IL","Morris Cogeneration, LLC","55216",,"Facility name change from Calpine Morris Power Plant on 12/19/2005",
"OH","Waterford Plant","55503",,"Facility name change from PSEG Waterford Energy Facility on 12/13/2001",
"NC","CPI USA North Carolina Southport","10378",,"Facility name change from Cogentrix-Southport on 08/30/2005",
"NC","CPI USA North Carolina Roxboro","10379",,"Facility name change from Cogentrix-Roxboro on 08/30/2005",
"NC","Edgecombe Genco, LLC","10384",,"Facility name change from Cogentrix-Rocky Mount on 03/21/2006",
"IN","Hoosier Energy Lawrence Co Station","7948",,"Facility name change from Hoosier Energy Bedford Station on 01/07/2003",
"NC","Rockingham County Combustion Turbine","55116",,"Facility name change from Rockingham Power on 11/27/2006",
"GA","Walton County Power, LLC","55128",,"Facility name change from LG&E Power Monroe on 04/23/2002",
"MO","Dogwood Energy Facility","55178",,"Facility name change from MEP Pleasant Hill-Aries Power Proj on 02/11/2005",
"MD","Luke Paper Company","50282",,"Facility name change from Westvaco on 04/23/2002",
"MD","Luke Paper Company","50282",,"Facility name change from Meadwestvaco Luke Mill on 11/16/2005",
"SC","INVISTA S.a.r.l. Camden Plant","880057",,"Facility name change from DuPont Textiles and Interiors on 11/16/2004",
"SC","INVISTA S.a.r.l. Camden Plant","880057",,"Facility name change from E.I. Dupont De Nemours on 09/12/2003",
"NC","NCEMC Hamlet Plant","56292",,"Facility name change from Richmond County Generation Facility on 03/20/2006",
"CA","Creed Energy Center","55625",,"Facility name change from Panda West Power I on 07/19/2002",
"CA","Goose Haven Energy Center","55627",,"Facility name change from Panda West Power III on 07/19/2002",
"OH","ArcelorMittal Warren","54207",,"Facility ID (ORISPL) change from 880034 to 54207",
"MI","DTE Pontiac North LLC","10111",,"Facility ID (ORISPL) change from 880081 to 10111",
