State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Facility Latitude, Facility Longitude, Owner, Operator
"AK","Healy Power Plant","6288","1","2015","63.8542","-148.95","Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",
"AK","Healy Power Plant","6288","1","2016","63.8542","-148.95","Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",
"AK","Healy Power Plant","6288","2","2015","63.8542","-148.95","Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",
"AK","Healy Power Plant","6288","2","2016","63.8542","-148.95","Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",
"AL","AMEA Sylacauga Plant","56018","1","2015","33.1661","-86.2825","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority",
"AL","AMEA Sylacauga Plant","56018","1","2016","33.1661","-86.2825","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority",
"AL","AMEA Sylacauga Plant","56018","2","2015","33.1661","-86.2825","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority",
"AL","AMEA Sylacauga Plant","56018","2","2016","33.1661","-86.2825","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority",
"AL","Ascend (Decatur Plant)","880041","X015","2015","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Ascend (Decatur Plant)","880041","X015","2016","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Ascend (Decatur Plant)","880041","Z005","2015","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Ascend (Decatur Plant)","880041","Z005","2016","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Ascend (Decatur Plant)","880041","Z006","2015","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Ascend (Decatur Plant)","880041","Z006","2016","34.6339","-87.0244","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",
"AL","Barry","3","1","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","1","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","2","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","2","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","3","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","4","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","4","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","5","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","5","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","6A","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","6A","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","6B","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","6B","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","7A","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","7A","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","7B","2015","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Barry","3","7B","2016","31.0069","-88.0103","Alabama Power Company","Alabama Power Company",
"AL","Calhoun Energy Center","55409","CT1","2015","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT1","2016","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT2","2015","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT2","2016","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT3","2015","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT3","2016","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT4","2015","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Calhoun Energy Center","55409","CT4","2016","33.5883","-85.9731","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",
"AL","Charles R Lowman","56","1","2015","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Charles R Lowman","56","1","2016","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Charles R Lowman","56","2","2015","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Charles R Lowman","56","2","2016","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Charles R Lowman","56","3","2015","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Charles R Lowman","56","3","2016","31.4858","-87.9106","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",
"AL","Colbert","47","1","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","1","2016","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
"AL","Colbert","47","2","2015","34.7439","-87.8486","Tennessee Valley Authority","Tennessee Valley Authority",
